Blockchain	Token Address
Algorand Testnet	10458941
Aptos Testnet	0x69091fbab5f7d635ee7ac5098cf0c1efbe31d68fec0f2cd565e8d168daf52832
Arbitrum Sepolia	0x75faf114eafb1BDbe2F0316DF893fd58CE46AA4d
Avalanche Fuji	0x5425890298aed601595a70AB815c96711a31Bc65
Base Sepolia	0x036CbD53842c5426634e7929541eC2318f3dCF7e
Celo Sepolia	0x01C5C0122039549AD1493B8220cABEdD739BC44E
Codex Testnet	0x6d7f141b6819C2c9CC2f818e6ad549E7Ca090F8f
Ethereum Sepolia	0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238
Hedera Testnet	0.0.429274
HyperEVM Testnet	0x2B3370eE501B4a559b57D449569354196457D8Ab
Ink Testnet	0xFabab97dCE620294D2B0b0e46C68964e326300Ac
Linea Sepolia	0xFEce4462D57bD51A6A552365A011b95f0E16d9B7
NEAR Testnet	3e2210e1184b45b64c8a434c0a7e7b23cc04ea7eb7a6c3c32520d03d4afcb8af
Noble Testnet	uusdc
OP Sepolia	0x5fd84259d66Cd46123540766Be93DFE6D43130D7
Plume Testnet	0xcB5f30e335672893c7eb944B374c196392C19D18
Polkadot Westmint	Asset ID 31337
Polygon PoS Amoy	0x41E94Eb019C0762f9Bfcf9Fb1E58725BfB0e7582
Sei Testnet	0x4fCF1784B31630811181f670Aea7A7bEF803eaED
Solana Devnet	4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU
Sonic Testnet	0x0BA304580ee7c9a980CF72e55f5Ed2E9fd30Bc51
Sonic Blaze Testnet	0xA4879Fed32Ecbef99399e5cbC247E533421C4eC6
Stellar Testnet	USDC-GBBD47IF6LWK7P7MDEVSCWR7DPUWV3NY3DTQEVFL4NAT4AQH3ZLLFLA5
Sui Testnet	0xa1ec7fc00a6f40db9693ad1415d0c193ad3906494428cf252621037bd7117e29::usdc::USDC
Unichain Sepolia	0x31d0220469e10c4E71834a79b1f276d740d3768F
World Chain Sepolia	0x66145f38cBAC35Ca6F1Dfb4914dF98F1614aeA88
XDC Apothem	0xb5AB69F7bBada22B28e79C8FFAECe55eF1c771D4
XRPL Testnet	5553444300000000000000000000000000000000.rHuGNhqTG32mfmAvWA8hUyWRLV3tCSwKQt
ZKsync Era Testnet	0xAe045DE5638162fa134807Cb558E15A3F5A7F853
